Log{id='f14a77d8-572a-4512-b091-bba940b2f548', action='LOGIN', user='ych', details='User logged in: ych', timestamp='2026-04-09T18:48:05.115591700'}
Log{id='804cb4f9-0990-4f04-9dba-1464101fceeb', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:49:34.814499'}
Log{id='3ab66a55-4fd5-498a-a99a-e10be27f6ba2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:50:34.815266300'}
Log{id='539d2ec9-6ec8-4ed4-b12b-7b25d37e932f', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:51:34.815926700'}
Log{id='25bf8150-690c-48d7-b890-0ba329b6a030', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:52:34.816236800'}
Log{id='7c467d27-9451-43ea-a39a-89e291013104', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:53:34.816700800'}
Log{id='f0180cbd-3c65-4025-9fb6-b8677069d9fb', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:54:34.818202700'}
Log{id='7c4218cb-4112-4019-af5a-1fb5191ef096', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:55:34.817792'}
Log{id='462ce7bf-4738-43a0-b7a1-ca0d3678977f', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:56:34.817845'}
Log{id='0603efa4-0758-4805-aad8-85e9d7c364d5', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:57:34.818221700'}
Log{id='055dfc8e-b96b-4626-93a2-54082ec3033e', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:58:34.818991800'}
Log{id='01aa499d-cc4a-473a-88f6-e8fa5f13de2b', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T18:59:34.819919'}
Log{id='01733d96-8591-46f3-8b48-dfabc73444a2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:00:34.820192500'}
Log{id='7f6ea840-14e7-4a94-891c-4de36253db96', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:01:34.822278300'}
Log{id='5aaef2b7-472d-4215-9708-0b5139e59fbf', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:02:34.823389200'}
Log{id='eb403123-e5e1-4656-9ef9-720fd40e0f06', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:03:34.829360600'}
Log{id='801223de-925d-43d9-87bb-db3fc5914058', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:04:34.831078400'}
Log{id='8a0d93bf-2bb1-48c8-ba05-a66d4e60e2dd', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:05:34.831831700'}
Log{id='43792952-d6eb-4650-baf6-728dbf1935a2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:06:34.833022'}
